billing_account_reference,Serial_Number,type
004431486,CP0508CTASU,
004431869,CP0440ATPG7,
004432251,CP0419ATGZY,
004432252,CP0419ATGK7,
004431239,CP0507AT100,
004431671,CP0505ATSEM,
004417919,CP0505BT2KT,
004431770,CP0419BT674,
004430606,CP0505BT2UB,
004431019,CP0508CTJ2T,
004432800,cp0253pzha6,
004433008,CP0505BT2HU,
004432778,CP0508CTADT,
004433071,CP0508CTAYH,
004433294,cp0505bt30s,
004430881,CP0505BT2N3,
004431002,CP0505BT2QW,
004431180,CP0316KZZLC,
004433757,cp0504atgpz,
004433435,cp0505at48u,
004433474,cp0235l9910,
004433185,cp0507at0mw,
004433475,cp0502atz3m,
004413003,cp0505at4bb,
005867960,cp0505at488,
004434115,cp0411atdae,
004434240,cp0415ct64s,
004434575,cp0425ctgts,
004142192,cp0425ct9sq,
003565092,cp0425ctknq,
004434956,cp0450btz62,
004435034,cp0436bt3b0,
004435211,cp0419ctqlw,
004435186,cp0425ctgth,
004435045,CP0452CT34K,
004436206,CP0449BTVS8,
004425258,CP0451AT75P,
004436387,CP0412BTPY0,
004423302,CP0425ATZZE,
004436997,CP0417BT5P5,
004437136,CP0505ATSR9,
004437434,CP0449BTUAB,
004437214,CP0505BT3K0,
004438071,CP0509ATGND,
004438238,CP0505ATY2U,
004438049,CP0507ATW31,
004436841,CP0425CTKMS,
004437655,CP0415CTHPF,
004437707,CP0452CT3AD,
004437708,CP0441ATLWZ,
004437782,CP0417BTCBY,
004438308,CP0452CT35K,
004424112,CP0507AT9UV,
004403163,CP0446ATJ2N,
004438561,CP0505ATSWZ,
004438733,CP0507BT3EH,
004439081,CP0451AT753,
004438740,CP0449BTVNE,
004438832,CP0507BT2UN,
004438853,CP0507BT2V6,
004438488,CP0449BTVP3,
005697541,CP0449BTVGG,
004438185,CP0451CTETR,
004439066,CP0451ATJBN,
004439463,CP0451ATJP7,
005404205,CP0449BTVPQ,
004439971,CP0507BT391,
004440391,CP0446ATJ3Z,
004267466,CP0415CT97B,
004440745,CP0505ATST7,
004438979,CP0505ATUFG,
004440726,CP0505ATTU9,
004440691,CP0505ATT2L,
004440933,CP0508BTFVC,
004441156,CP0508BTR5E,
004441167,CP0508BTG3V,
006633695,CP0448ATHE4,
004442235,CP0508CTAQR,
004442204,CP0508BTRLR,
004442293,CP0508CTAND,
004442324,CP0505ATYF5,
004442354,CP0508BTTM4,
004442495,CP0508BTEMU,
004442564,CP0508BTT4W,
004442753,CP0508BTTSZ,
004443181,CP0510BTG3J,
004443428,CP0507ATAWW,
006088847,CP0510BTG4J,
004443569,CP0507ATBBE,
004443830,CP0510BTH0K,
004443796,CP0510BTGWQ,
004443944,CP0507ATB0L,
004444152,CP0444BT0FQ,
003811332,CP0505ATVBU,
005098202,CP0507ATJ0G,
004445062,CP0510CT4V4,
004445926,CP0444BT0JF,
005819150,CP0510BTH67,
004444677,CP0510CT5EF,
004318946,0055502B20DAECF,
004446304,CP0406BT34G,
004445232,CP0507ATJT2,
004445699,CP0510BTH8Y,
004446572,CP0507ATC8Q,
004446621,CP0507ATC75,
004446732,CP0507ATC5T,
004444641,CP0507ATCM0,
004428401,CP0507AT5TH,
004447505,CP0507ATCHJ,
004447535,CP0507ATCNQ,
004444921,CP0452BTNAB,
004447862,CP0507AT5P8,
003528739,0035802B131DFC3,
004448686,cp0451atmbm,
004448696,cp0507at506,
004740845,cp0507at6sm,
004448700,cp0507at59p,
004448601,cp0505athg1,
004448712,cp0507at4tl,
004448001,cp0505atfd4,
004448303,cp0505atu61,
004449661,cp0447btcuq,
004209773,cp0510btabr,
016356981,CP0451AT095,
004450149,CP0510BTBFY,
004450016,CP0449BTDPY,
004450461,CP0451AT00T,
006437225,CP0507AT33F,
004450337,CP0451AT0DG,
004449841,CP0451AT0C7,
004450377,CP0510BTBAL,
004449838,CP0505ATU4P,
004433071,CP0451AT016,
004449361,CP0451AT0AM,
004451879,cp0507at4ag,
004451447,cp0447atv0c,
070882190,cp0510btana,
004452072,cp0449btdp9,
004452300,cp0510btbgu,
004452310,cp0505atu8n,
004452465,cp0449bte24,
004451187,cp0505atu79,
004452818,cp0451at04e,
004122320,CP0437BT4MY,
003411260,P0438ATNUK,
004453314,CP0417BT2QJ,
004453432,cp0507at2yv,
004453436,cp0507at7ll,
003811332,CP0441ATU28,
004453745,P0450BTYZU,
003611300,CP0424BTES1,
004435057,CP0438ATMAM,
004454216,CP0449CT11Y,
004362147,0065302b212419c,
004454488,CP0508GTKLG,
004455374,CP0507ATDY7,
004455582,CP0444ATNGE,
004456420,cp0445athqv,
004456917,cp0448bt611,
003816970,cp0445at5lc,
004457753,cp0442at059,
004457919,cp0452bt4j9,
004458116,cp0452bt4j1,
004458256,cp0444atnld,
004740845,cp0445atqyn,
003811332,cp0445ats0v,
004456702,cp0447bt88b,
004448503,00665902B239F1BD,
004390259,CP0505ATWBQ,
004458888,CP0507BT0T2,
004458923,CP0501ATZ71,
004459054,CP0505ATJ4H,
004459954,CP0424ATF7R,
005805188,CP0439BT78N,
004460354,CP0505ATU5Z,
004460434,CP0507AT34Z,
004460655,CP0449BTE5T,
004460032,CP0501ATTDG,
004461304,cp0505atta7,
004461458,cp0507atavm,
004461564,cp0507atbfl,
004461894,cp0445atrya,
004461795,cp0447btb39,
004461985,cp0507bt0pr,
004462533,cp0507bt11v,
003528739,0065302b2152bae,
005311626,0065302b212a2aa,
004462762,cp0451atppg,
004462680,cp0501atz2h,
004662370,cp0451atpa5,
004462635,cp0451atpng,
004463784,cp0507at3pn,
004464053,CP0505ATTNJ,
004464171,CP0451ATQ6N,
004453745,CP0507AT30T,
004464372,CP0507BT38L,
004464322,CP0505ATTL1,
003811332,CP0507BT3BS,
004465168,CP0505ATVH7,
004465137,CP0505ATGPE,
004365824,cp0510atrz9,
004462449,CP0505ATMHH,
004447862,cp0510btw7b,
004465533,cp0452btw9w,
004465789,cp0510btuww,
004466403,CP0452BTGQT,
004466553,CP0444ATN5L,
004466576,CP0510BT5KJ,
004466919,CP0507ATBF1,
004467008,CP0510BTUJH,
004467352,CP0508BTAWW,
006020757,CP0507ATBMC,
004467626,CP0507ATBE2,
004468450,CP0452BTKR6,
004237807,CP0510BTV0U,
004468271,CP0510CT26P,
004468514,CP0501ATLCE,
004468522,CP0510BTZPE,
004468581,CP0501BTAUL,
004468670,CP0501ATLDG,
004468717,CP0501BTBEH,
004469105,CP0452BTN9M,
004468724,CP0501BTAKD,
004469347,CP0501BTB7S,
004469550,CP0444ATN41,
004469654,CP0452BTH1S,
004469748,CP0425CTGZL,
004468676,CP0410BTA7Q,
004468209,CP0421ATTZL,
004469844,CP0425ATY3S,
004470001,CP0510BTC3C,
004470180,CP0417ATJY5,
004470179,CP0436ATE6Q,
004470380,CP0425CTKKG,
004470546,cp0505atlf1,
004470744,cp0505atp3w,
004470768,cp0505ateyv,
005341480,CP0507BT0TP,
004470698,cp0505ate8k,
004471248,CP0510CT47D,
004471354,CP0510CT487,
004471569,CP0510CT9NM,
004456702,CP0450BTEWF,
004471998,CP0501BTB5Q,
004471761,CP0507BT0P7,
004472277,CP0510BT9NL,
004454568,0035302b3b5d6c3,
004471865,CP0510BT9PP,
004472456,CP0352AT635,
004472459,CP0510CT9K1,
006383247,CP0510CT8V9,
004472675,CP0510AT10R,
004473447,CP0434ATJMG,
004473304,CP0447BT84K,
004473241,CP0441ATN8V,
004473352,CP0439ATTKP,
004473654,CP0437ATUGW,
004473897,CP0451AT1WL,
004474099,CP0426BT061,
004474184,CP0501BTBF6,
004474007,CP0340BT61L,
004475040,cp0510ct3vn,
004474741,cp0452bth5w,
003542857,cp0451at1vz,
004475147,cp0419bt0gl,
004475629,cp0510ct2n0,
004462411,cp0510ct9h5,
004475783,cp0439bt6cm,
004475810,cp0426atg33,
004476015,CP0450BTG6V,
004476133,CP0452BTGV8,
004475949,CP0441AT70N,
004476306,CP0413BTF06,
004476480,CP0445AT5YT,
003379183,CP0436ATWY9,
004476913,CP0441ATPV1,
004477224,CP0425CTAZ0,
004477329,CP0448ATRDZ,
004477631,CP0451ATKHL,
004086180,cp0452btgu5,
003983671,0065802b23c82b9,
004477445,CP0451AT1S1,
004479213,CP0449CT0LS,
004480131,cp0452btvp0,
004479469,CP0507ATEBF,
004480660,cp0501btbjr,
004480971,cp0510bt80p,
004481580,cp0501btegv,
004481990,cp0510bt82e,
004473304,0.cp0510ct4bp,
004482136,cp0510ct1l3,
004482198,cp0419btb1z,
