3785710,B2C,006010326,22338267,2019-04-09 12:09:19,2019-04-15 10:02:48,182534454,J851612113,Provide_CPE
4087121,B2C,005712589,22385059,2019-01-24 18:42:58,2019-01-28 09:07:55,194490799,J851611010,Provide_CPE
3804374,B2C,006565334,22592475,2018-11-28 13:15:24,2018-11-29 02:17:26,183627765,J851610937,Provide_CPE
3431468,B2C,006048532,22406243,2019-04-15 12:07:58,2019-04-16 11:11:51,168561185,J851609866,Provide_CPE
3596294,B2C,006813853,22498251,2017-02-21 20:01:49,2017-03-08 02:03:55,175704583,J851609258,Provide_CPE
3628990,B2C,006263848,22366893,2019-04-11 16:03:15,2019-04-12 09:53:18,176687834,J851607934,Provide_CPE
3581623,B2C,006895943,22583593,2012-11-18 00:00:00,2012-11-18 00:00:00,175115357,J851607625,Provide_CPE
3519071,B2C,005612400,22356075,2007-11-12 00:00:00,2011-11-10 00:00:00,172071934,J851605940,Provide_CPE
3366625,B2C,003499027,22272529,2019-04-03 17:59:47,2019-04-08 03:01:28,166218018,J850788012,Provide_CPE
3599737,B2C,005929948,22567939,2019-04-30 10:57:52,2019-05-02 10:58:56,175295536,J850787111,Provide_CPE
3431494,B2C,003702796,22265223,2019-04-03 10:14:18,2019-04-08 01:09:54,168421648,J850786705,Provide_CPE
3655419,B2C,005989947,22279371,2005-05-23 00:00:00,2005-06-03 00:00:00,177850692,J850785511,Provide_CPE
3697918,B2C,005766192,22294183,2019-04-05 11:19:13,2019-04-10 01:13:15,179496485,J850745513,Provide_CPE
3564164,B2C,006023191,22268563,2019-04-03 13:56:37,2019-04-05 03:58:15,173914833,J850745474,Provide_CPE
3412085,B2C,005324140,22572001,2004-08-28 00:00:00,2004-09-11 00:00:00,168054824,J850745239,Provide_CPE
3476687,B2C,003481911,22407167,2004-12-28 00:00:00,2005-01-08 00:00:00,170228140,J850745208,Provide_CPE
3436862,B2C,005965882,22567155,2019-04-30 09:57:47,2019-05-03 01:30:14,168988953,J850744262,Provide_CPE
6755204,B2C,133669572,22286393,2006-02-09 00:00:00,2006-02-16 00:00:00,404162120,J850744105,cease_CPE
3970587,B2C,005826857,22222295,2017-09-28 19:54:20,2017-10-02 04:34:33,189752036,J840715539,Provide_CPE
4018816,B2C,005020522,21960786,2019-03-08 14:44:41,2019-03-12 02:46:15,191675671,J840713938,Provide_CPE
3692189,B2C,005992335,22003748,2019-03-12 11:40:09,2019-03-15 01:16:09,179556159,J840711479,Provide_CPE
4068755,B2C,004680178,21904542,2005-11-27 00:00:00,2014-04-24 00:00:00,193721909,J840711330,Provide_CPE
